metadata: measurement UID,metadata: file URL,metadata: collection,metadata: ms ID,metadata: shelfmark,metadata: ms type,metadata: part name,metadata: part ID,extent: extent,extent: n folios,extent: n endleaves,extent: n later endleaves,rolls: height,rolls: height max,rolls: height min,rolls: width,rolls: width max,rolls: width min,rolls: unit,rolls: converted,fragments: height,fragments: height max,fragments: height min,fragments: width,fragments: width max,fragments: width min,fragments: unit,leaves: height,leaves: height max,leaves: height min,leaves: width,leaves: width max,leaves: width min,leaves: depth,leaves: depth max,leaves: depth min,leaves: unit,columns: n,columns: n max,columns: n min,columns: height,columns: height max,columns: height min,columns: width,columns: width max,columns: width min,columns: unit,intercolumn: width,intercolumn: width max,intercolumn: width min,intercolumn: unit,written area: n,written area: n max,written area: n min,written area: height,written area: height max,written area: height min,written area: width,written area: width max,written area: width min,written area: unit,ruling: n,ruling: n max,ruling: n min,ruling: height,ruling: height max,ruling: height min,ruling: width,ruling: width max,ruling: width min,ruling: unit,ruling: medium,ruling: top line
Merton_College_MS_295_measure_3,manuscript_10393,Merton_College,Merton_College_MS_295,Merton College MS. 295,part,,Merton_College_MS_295-part2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,,,,,,,,,,,,58.0,58.0,58.0,270.0,270.0,270.0,165.0,165.0,165.0,mm,,,,,,,,,,,crayon,
Merton_College_MS_295_measure_4,manuscript_10393,Merton_College,Merton_College_MS_295,Merton College MS. 295,part,,Merton_College_MS_295-part3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,,,,,,,,,,,,50.0,50.0,50.0,265.0,265.0,265.0,180.0,180.0,180.0,mm,,,,,,,,,,,crayon,
Merton_College_MS_295_measure_5,manuscript_10393,Merton_College,Merton_College_MS_295,Merton College MS. 295,part,,Merton_College_MS_295-part4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,,,,,,,,,,,,46.0,46.0,46.0,225.0,225.0,225.0,120.0,120.0,120.0,mm,,,,,,,,,,,,
Merton_College_MS_296_measure_1,manuscript_10394,Merton_College,Merton_College_MS_296,Merton College MS. 296,manuscript-composite,,Merton_College_MS_296,"168 leaves (ii + 166) Retrimmed with loss of marginalia. Fols. i-ii, 164–6, are of thick, stiff parchment.",166.0,,2.0,,,,,,,,,,,,,,,,290.0,290.0,290.0,200.0,200.0,200.0,,,,mm,2.0,2.0,2.0,,,,,,,,,,,,48 52,52.0,48.0,235.0,235.0,235.0,150.0,150.0,150.0,mm,,,,,,,,,,,,
Merton_College_MS_297_measure_1,manuscript_10395,Merton_College,Merton_College_MS_297,Merton College MS. 297,manuscript,,Merton_College_MS_297,260 leaves (iv + 256) The edges retrimmed and stained yellow at the foot.,256.0,,4.0,,,,,,,,,,,,,,,,285.0,285.0,285.0,190.0,190.0,190.0,,,,mm,2.0,2.0,2.0,,,,,,,,,,,,40.0,40.0,40.0,220.0,220.0,220.0,140.0,140.0,140.0,mm,,,,,,,,,,,crayon,
Merton_College_MS_297B_measure_1,manuscript_10425,Merton_College,Merton_College_MS_297B,Merton College MS. 297B,manuscript-composite,,Merton_College_MS_297,396 leaves (iii + 393) The edges retrimmed and spattered with red. The early leaves are damaged by damp a the head.,393.0,,3.0,,,,,,,,,,,,,,,,295.0,295.0,295.0,200.0,200.0,200.0,,,,mm,1.0,1.0,1.0,,,,,,,,,,,,41 42,42.0,41.0,200.0,200.0,200.0,130.0,130.0,130.0,mm,,,,,,,,,,,,
Merton_College_MS_298_measure_1,manuscript_10396,Merton_College,Merton_College_MS_298,Merton College MS. 298,manuscript,,Merton_College_MS_298,"413 leaves (ii + 410, incl. 343A) The edges retrimmed and spattered with red. Fols. i-ii of thick, stiff parchment.",410.0,,2.0,,,,,,,,,,,,,,,,400.0,400.0,400.0,285.0,285.0,285.0,,,,mm,2.0,2.0,2.0,,,,,,,,,,,,60.0,60.0,60.0,310.0,310.0,310.0,200.0,200.0,200.0,mm,,,,,,,,,,,,
Merton_College_MS_299_measure_1,manuscript_10397,Merton_College,Merton_College_MS_299,Merton College MS. 299,manuscript,,Merton_College_MS_299,"331 leaves (ii + 329) The edges retrimmed, the feet stained yellow.",329.0,,2.0,,,,,,,,,,,,,,,,270.0,270.0,270.0,190.0,190.0,190.0,,,,mm,1.0,1.0,1.0,,,,,,,,,,,,29.0,29.0,29.0,190.0,190.0,190.0,120.0,120.0,120.0,mm,,,,,,,,,,,crayon,
Merton_College_MS_300_measure_1,manuscript_10398,Merton_College,Merton_College_MS_300,Merton College MS. 300,manuscript-composite,,Merton_College_MS_300,"222 leaves (iv + 219, omitting 129)",219.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merton_College_MS_300_measure_2,manuscript_10398,Merton_College,Merton_College_MS_300,Merton College MS. 300,part,,Merton_College_MS_300-part1,,,,,,,,,,,,,,,,,,,,425.0,425.0,425.0,275.0,275.0,275.0,,,,mm,2.0,2.0,2.0,,,,,,,,,,,,64.0,64.0,64.0,295.0,295.0,295.0,180.0,180.0,180.0,mm,,,,,,,,,,,crayon,
